group,port_type,port,count,percentage
All Benign,dst_port,389,202,0.18735102347452676
All Benign,dst_port,465,149,0.13819456682031922
All Benign,dst_port,139,124,0.11500755896456098
All Benign,dst_port,3268,71,0.06585110231035347
All Benign,dst_port,445,70,0.06492362199612313
All Benign,dst_port,138,66,0.061213700739201814
All Benign,dst_port,49666,43,0.03988165351190421
All Benign,dst_port,135,29,0.02689692911267958
All Benign,dst_port,37082,27,0.025041968484218923
All Benign,dst_port,39282,27,0.025041968484218923
All Benign,dst_port,5353,25,0.023187007855758262
All Benign,dst_port,40510,20,0.01854960628460661
