error_count,reference_count,error_mean,reference_mean,mean_difference,error_median,reference_median,median_difference,error_missing_rate,reference_missing_rate,missing_rate_difference,feature,relative_mean_difference
930,107819,1.0903225806451613,2.2160936384125245,-1.1257710577673632,1.0,0.0,1.0,0.0,0.0,0.0,psh_count,50.79979646409696
930,107819,0.4666666666666667,0.19552212504289596,0.2711445416237707,0.0,0.0,0.0,0.0,0.0,0.0,syn_seen,138.67716585234731
930,107819,0.46559139784946235,0.19375063764271602,0.2718407602067463,0.0,0.0,0.0,0.0,0.0,0.0,syn_ack_seen,140.30444674356715
930,107819,0.46559139784946235,0.19344456913902003,0.2721468287104423,0.0,0.0,0.0,0.0,0.0,0.0,ack_after_syn_ack,140.6846570682801
930,107819,1.0514708888146185,10.174669446486481,-9.123198557671863,0.0020093917846679002,0.0002369880676269,0.0017724037170410002,0.0,0.0,0.0,flow_duration,89.66579804538306
930,107819,5.398924731182795,31.236785724223004,-25.83786099304021,5.0,2.0,3.0,0.0,0.0,0.0,flow_packet_count,82.71613225878063
930,107819,5808.459139784946,34842.23353026832,-29033.774390483373,330.0,280.0,50.0,0.0,0.0,0.0,flow_byte_count,83.32925719374738
930,107819,2.724731182795699,14.502842727163117,-11.778111544367418,3.0,2.0,1.0,0.0,0.0,0.0,forward_packet_count,81.21243376864034
930,107819,2.674193548387097,16.733942997059888,-14.059749448672791,1.0,1.0,0.0,0.0,0.0,0.0,reverse_packet_count,84.01934589560305
930,107819,684.9580645161291,1354.7618137805025,-669.8037492643734,330.0,144.0,186.0,0.0,0.0,0.0,forward_byte_count,49.44070186000198
930,107819,5123.501075268818,33487.47171648782,-28363.970641219,60.0,150.0,-90.0,0.0,0.0,0.0,reverse_byte_count,84.70024515841182
930,107819,0.02603408851623535,0.030947540353568895,-0.0049134518373335455,4.0531158447265625e-06,3.814697265625e-06,2.384185791015625e-07,0.3279569892473118,0.28978194937812446,0.038175039869187355,iat_min,15.876711949313032
930,107819,0.1984313779450865,0.7604491267243678,-0.5620177487792813,0.0180588960647583,0.0155593554178873,0.002499540646871001,0.3279569892473118,0.28978194937812446,0.038175039869187355,iat_mean,73.90602855975008
930,107819,1.0595774669647218,4.032182873490197,-2.9726054065254752,0.1312849521636963,0.0310280323028564,0.10025691986083989,0.3279569892473118,0.28978194937812446,0.038175039869187355,iat_max,73.7219888033608
930,107819,0.34765349886718694,1.336704720014138,-0.9890512211469511,0.0432199684247974,0.0001185179372224,0.043101450487575,0.3279569892473118,0.28978194937812446,0.038175039869187355,iat_std,73.99175048446676
930,107819,13981106.738602545,7185956.655768101,6795150.082834444,85127.09020409021,13035.383711895704,72091.70649219451,0.3279569892473118,0.29028278874780883,0.037674200499502986,byte_rate,94.5615233760148
930,107819,653.5101272909358,150.19221985037836,503.3179074405574,77.0,94.0,-17.0,0.0,0.0,0.0,frame_length_mean,335.1158321928814
930,107819,638.1301778918212,134.42509950426884,503.70507838755236,63.0,79.66666666666667,-16.66666666666667,0.0,0.0,0.0,ip_total_length_mean,374.71058622616573
930,107819,38638.68817204301,37826.21443344865,812.473738594359,42830.0,50207.0,-7377.0,0.0,0.0,0.0,src_port,2.147911840408517
930,107819,6943.070967741935,11349.857622496962,-4406.786654755027,80.0,80.0,0.0,0.0,0.0,0.0,dst_port,38.826801192820035
930,107819,0.0,0.5371780483959228,-0.5371780483959228,0.0,0.0,0.0,0.0,0.0,0.0,ip_dscp,100.0
930,107819,0.0,0.0008718314953765106,-0.0008718314953765106,0.0,0.0,0.0,0.0,0.0,0.0,ip_ecn,100.0
930,107819,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,ip_header_length,0.0
930,107819,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,ip_checksum_valid,0.0
930,107819,0.5344086021505376,0.919819326834788,-0.3854107246842503,1.0,1.0,0.0,0.0,0.0,0.0,l4_checksum_valid,41.90069869595981
930,107819,0.5182795698924731,0.6004414806295736,-0.08216191073710044,1.0,1.0,0.0,0.0,0.0,0.0,flow_direction,13.683583394497031
12,107819,6.0,10.138760329812,-4.1387603298119995,6.0,6.0,0.0,0.0,0.0,0.0,ip_protocol,40.821167432495606
12,107819,63.083333333333336,107.83125862869676,-44.74792529536342,63.5,96.0,-32.5,0.0,0.0,0.0,ttl_mean,41.498101630666504
12,107819,140.375,6056.93028036041,-5916.55528036041,235.0,392.0,-157.0,0.0,0.3762509390738182,-0.3762509390738182,tcp_window_mean,97.6824068710983
12,107819,27.0,25.38209009296833,1.6179099070316703,32.0,21.846153846153847,10.153846153846153,0.0,0.3762509390738182,-0.3762509390738182,tcp_header_length_mean,6.3742185970724465
12,107819,0.0,0.41213515243138965,-0.41213515243138965,0.0,0.0,0.0,0.0,0.0,0.0,syn_count,100.0
12,107819,1.0833333333333333,29.54288205232844,-28.45954871899511,1.5,1.0,0.5,0.0,0.0,0.0,ack_count,96.33301405254079
12,107819,0.5833333333333334,0.38381917843793767,0.1995141548953957,1.0,0.0,1.0,0.0,0.0,0.0,fin_count,51.98128861287646
12,107819,0.4166666666666667,0.10022352275572952,0.3164431439109372,0.0,0.0,0.0,0.0,0.0,0.0,rst_count,315.7373989758776
12,107819,0.5,2.2160936384125245,-1.7160936384125245,0.5,0.0,0.5,0.0,0.0,0.0,psh_count,77.43777648501488
12,107819,0.0,0.19552212504289596,-0.19552212504289596,0.0,0.0,0.0,0.0,0.0,0.0,syn_seen,100.0
12,107819,0.0,0.19375063764271602,-0.19375063764271602,0.0,0.0,0.0,0.0,0.0,0.0,syn_ack_seen,100.0
12,107819,0.0,0.19344456913902003,-0.19344456913902003,0.0,0.0,0.0,0.0,0.0,0.0,ack_after_syn_ack,100.0
12,107819,6.357828776041666e-07,10.174669446486481,-10.174668810703604,0.0,0.0002369880676269,-0.0002369880676269,0.0,0.0,0.0,flow_duration,99.99999375131664
12,107819,1.5,31.236785724223004,-29.736785724223004,1.5,2.0,-0.5,0.0,0.0,0.0,flow_packet_count,95.19796942859968
12,107819,298.6666666666667,34842.23353026832,-34543.566863601656,104.5,280.0,-175.5,0.0,0.0,0.0,flow_byte_count,99.14280275285107
12,107819,1.4166666666666667,14.502842727163117,-13.08617606049645,1.0,2.0,-1.0,0.0,0.0,0.0,forward_packet_count,90.23180011451605
12,107819,0.08333333333333333,16.733942997059888,-16.650609663726556,0.0,1.0,-1.0,0.0,0.0,0.0,reverse_packet_count,99.50201017567723
12,107819,293.1666666666667,1354.7618137805025,-1061.5951471138358,71.5,144.0,-72.5,0.0,0.0,0.0,forward_byte_count,78.36027974182586
