feature,baseline_accuracy,ablation_accuracy,accuracy_drop,baseline_balanced_accuracy,ablation_balanced_accuracy,balanced_accuracy_drop,baseline_precision,ablation_precision,precision_drop,baseline_recall,ablation_recall,recall_drop,baseline_f1,ablation_f1,f1_drop,baseline_auc,ablation_auc,auc_drop
syn_ack_seen,0.994441203239131,0.9944365359034795,4.667335651520332e-06,0.9944676956471631,0.9944629979884761,4.697658686936279e-06,0.9903189437492429,0.9903188535435419,9.020570101991865e-08,0.9985719117591793,0.9985625164418054,9.395317373872558e-06,0.9944283047731324,0.9944236005202145,4.704252917875351e-06,0.9980127801001223,0.9980979922886375,-8.521218851520462e-05
syn_count,0.994441203239131,0.9944365359034795,4.667335651520332e-06,0.9944676956471631,0.9944629979884761,4.697658686936279e-06,0.9903189437492429,0.9903188535435419,9.020570101991865e-08,0.9985719117591793,0.9985625164418054,9.395317373872558e-06,0.9944283047731324,0.9944236005202145,4.704252917875351e-06,0.9980127801001223,0.9980190352941485,-6.255194026194566e-06
ip_dscp,0.994441203239131,0.9944365359034795,4.667335651520332e-06,0.9944676956471631,0.9944630582455919,4.637401571194744e-06,0.9903189437492429,0.9903097163728523,9.227376390641417e-06,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944236526946107,4.652078521627523e-06,0.9980127801001223,0.9980034076133549,9.372486767356136e-06
ip_df,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980103849778031,2.3951223191431836e-06
vlan_id,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
vlan_priority,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
eth_type,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
ip_version,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
ack_after_syn_ack,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980192489171699,-6.468817047577957e-06
l4_checksum_valid,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980866720548687,-7.389195474638566e-05
