feature,accuracy_drop_mean,accuracy_drop_std,balanced_accuracy_drop_mean,balanced_accuracy_drop_std,f1_drop_mean,f1_drop_std,recall_drop_mean,recall_drop_std,auc_drop_mean,auc_drop_std
iat_mean,-0.00010666666666669933,4.7140452079097985e-05,-0.00010562782581099069,4.707012553459617e-05,-0.0001064187477585558,4.729221750457766e-05,2.6877385367921985e-05,5.028298374961658e-05,0.000853013497653062,0.00014231199414468202
byte_rate,-0.00013333333333331865,6.182412330331464e-05,-0.00013198251238429512,6.157999911212051e-05,-0.00013299509883746286,6.192869969098222e-05,4.031607805191998e-05,3.291793988582311e-05,0.0008389248983555012,5.358552289328888e-06
forward_byte_count,5.333333333331266e-05,7.363574011460847e-05,5.563648639668924e-05,7.407594392329754e-05,5.5117112344775045e-05,7.425708597200125e-05,0.00034940600978335584,0.0001330362701796904,0.0008266134749598253,0.00012434550337881288
iat_min,-0.000160000000000012,1.6329931618525527e-05,-0.00015844173871652303,1.6332441026001623e-05,-0.0001596381419051903,1.6400759493854122e-05,4.031607805191998e-05,3.291793988582311e-05,0.0008207576483613513,0.00010510013183236168
ip_total_length_mean,0.00013333333333331865,6.599663291070576e-05,0.0001362686425005292,6.585297260338729e-05,0.00013589682140909462,6.619227917970325e-05,0.0005106703219910358,5.0282983749577016e-05,0.0007949483286426121,9.05716322319515e-05
flow_direction,-6.666666666673334e-06,2.4944382578517887e-05,-5.987568029497403e-06,2.5001841579072798e-05,-6.238343059720523e-06,2.508676920198914e-05,8.063215610383996e-05,3.291793988582311e-05,0.0007399782832091158,1.6079093552713268e-05
flow_byte_count,9.333333333335266e-05,4.109609335311958e-05,9.73115813147259e-05,4.103079566523601e-05,9.643289915077051e-05,4.124008276642489e-05,0.0006047411707788738,3.291793988582311e-05,0.0006820720573015304,9.485619434089127e-05
reverse_byte_count,5.999999999998599e-05,1.6329931618525527e-05,6.193767370292018e-05,1.6331102706936438e-05,6.156048427208294e-05,1.6401189321409276e-05,0.00030908993173139887,1.900518145427406e-05,0.0006454431392164395,4.826859704826057e-05
iat_std,0.0,2.8284271247490186e-05,2.0907951786552914e-06,2.835993063648191e-05,1.4041303712704807e-06,2.845815874261667e-05,0.00026877385367947887,3.8010362908495786e-05,0.0006440411863778787,7.651761120338982e-05
flow_duration,-8.0000000000006e-05,7.118052168022794e-05,-7.979583803234085e-05,7.095025452854542e-05,-8.019329129875057e-05,7.131838407304934e-05,-5.375477073591798e-05,5.028298374956713e-05,0.0006367204697390235,0.00014538872452718782
forward_packet_count,2.666666666665633e-05,2.4944382578468434e-05,2.687738536795899e-05,2.5058841792403053e-05,2.6917884018910303e-05,2.5124282994514905e-05,5.3754770735880975e-05,5.0282983749577016e-05,0.0005218838112349319,9.732001974114143e-05
fin_count,0.0006599999999999939,7.118052168019674e-05,0.0006623927143655598,7.174298669588849e-05,0.0006645013719402959,7.19139281006698e-05,0.0009675858732461906,0.00014348597339180816,0.0005116186469470799,8.333154637364674e-05
reverse_packet_count,6.666666666673334e-06,2.4944382578517887e-05,7.2420451366165634e-06,2.5253435045324344e-05,7.081587207561728e-06,2.5255790837973726e-05,8.063215610383996e-05,6.58358797716009e-05,0.0005002022118956543,0.00011555068356480296
