error_count,reference_count,error_mean,reference_mean,mean_difference,error_median,reference_median,median_difference,error_missing_rate,reference_missing_rate,missing_rate_difference,group,feature,relative_mean_difference
23,106436,238.89803312629397,464.1182973565921,-225.22026423029814,77.0,66.0,11.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,frame_length_mean,48.526478165814815
23,106436,222.55020703933747,448.3495936714343,-225.79938663209686,63.0,52.0,11.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ip_total_length_mean,50.362348894548184
23,106436,25219.130434782608,41049.76413995265,-15830.63370517004,32816.0,44694.0,-11878.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,src_port,38.56449369891142
23,106436,21271.565217391304,5887.188864669849,15384.376352721454,80.0,80.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,dst_port,261.319565353951
23,106436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ip_dscp,
23,106436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ip_ecn,
23,106436,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ip_header_length,0.0
23,106436,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,ip_checksum_valid,0.0
23,106436,0.8260869565217391,0.6919463339471608,0.13414062257457837,1.0,1.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,l4_checksum_valid,19.38598645495848
23,106436,0.13043478260869565,0.4277781953474388,-0.2973434127387432,0.0,0.0,0.0,0.0,0.0,0.0,Baseline FN Repaired vs All Attack,flow_direction,69.50878188105
25,106436,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,Current-only FN vs All Attack,ip_protocol,0.0
25,106436,62.73866666666667,62.5256466241688,0.21302004249786677,62.0,62.0,0.0,0.0,0.0,0.0,Current-only FN vs All Attack,ttl_mean,0.3406922662924137
25,106436,536.5026666666666,2527.374487987173,-1990.8718213205061,235.0,281.0,-46.0,0.0,0.0,0.0,Current-only FN vs All Attack,tcp_window_mean,78.77233195093525
25,106436,27.066666666666666,29.11187136987724,-2.0452047032105725,32.0,32.0,0.0,0.0,0.0,0.0,Current-only FN vs All Attack,tcp_header_length_mean,7.0253288674763645
25,106436,0.16,0.7236649254011801,-0.5636649254011801,0.0,0.0,0.0,0.0,0.0,0.0,Current-only FN vs All Attack,syn_count,77.89031990029082
25,106436,1.68,3.755834492089143,-2.075834492089143,1.0,3.0,-2.0,0.0,0.0,0.0,Current-only FN vs All Attack,ack_count,55.2695944526161
25,106436,0.48,0.43323687474162875,0.04676312525837123,0.0,0.0,0.0,0.0,0.0,0.0,Current-only FN vs All Attack,fin_count,10.793893129770993
25,106436,0.44,0.5469202149648615,-0.10692021496486154,0.0,1.0,-1.0,0.0,0.0,0.0,Current-only FN vs All Attack,rst_count,19.549508692365837
25,106436,0.6,0.7381243188394904,-0.1381243188394904,0.0,0.0,0.0,0.0,0.0,0.0,Current-only FN vs All Attack,psh_count,18.71288010895714
25,106436,0.08,0.3233586380547935,-0.24335863805479346,0.0,0.0,0.0,0.0,0.0,0.0,Current-only FN vs All Attack,syn_seen,75.25966818723305
25,106436,0.08,0.3146867601187568,-0.23468676011875678,0.0,0.0,0.0,0.0,0.0,0.0,Current-only FN vs All Attack,syn_ack_seen,74.5778945482773
